combo,n_strats,risks,breaker,smart,search_n,search_pass60,search_fail60,search_med
US30:L7,1,1500,,,82,0.134,0.317,43.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,near,82,0.122,0.0,52.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,500/500,,near,82,0.122,0.0,52.0
SPX500:S42,1,1500,2000.0,,82,0.122,0.024,22.5
SPX500:S42,1,1500,,,82,0.122,0.024,22.5
SPX500:S42 | NDX100:L6,2,500/500,2000.0,,82,0.11,0.0,39.0
SPX500:S42 | NDX100:L6,2,500/500,2000.0,near,82,0.11,0.0,39.0
SPX500:S42 | NDX100:L6,2,500/500,,,82,0.11,0.0,39.0
SPX500:S42 | NDX100:L6,2,500/500,,near,82,0.11,0.0,39.0
NDX100:LIVE_COMP+MA100,1,500,2000.0,near,82,0.098,0.0,45.0
NDX100:LIVE_COMP+MA100,1,500,,near,82,0.098,0.0,45.0
NDX100:L6 | US30:L7,2,500/1000,2000.0,near,82,0.098,0.0,40.5
NDX100:LIVE_COMP,1,500,2000.0,near,82,0.098,0.024,45.0
NDX100:LIVE_COMP,1,500,,near,82,0.098,0.024,45.0
US30:L7 | NDX100:LIVE_COMP,2,500/500,2000.0,near,82,0.098,0.024,50.5
US30:L7 | NDX100:LIVE_COMP,2,500/500,,near,82,0.098,0.024,50.5
NDX100:L6,1,750,2000.0,,82,0.085,0.0,54.0
NDX100:L6,1,750,2000.0,near,82,0.085,0.0,54.0
NDX100:L6,1,750,,,82,0.085,0.0,54.0
NDX100:L6,1,750,,near,82,0.085,0.0,54.0
NDX100:S22,1,500,2000.0,,82,0.085,0.0,43.0
NDX100:S22,1,500,,,82,0.085,0.0,43.0
SPX500:S42,1,1000,2000.0,,82,0.085,0.0,30.0
SPX500:S42,1,1000,2000.0,near,82,0.085,0.0,30.0
SPX500:S42,1,1000,,,82,0.085,0.0,30.0
SPX500:S42,1,1000,,near,82,0.085,0.0,30.0
NDX100:S24 | SPX500:S42,2,500/500,2000.0,,82,0.085,0.0,47.0
NDX100:S24 | SPX500:S42,2,500/500,2000.0,near,82,0.085,0.0,47.0
NDX100:S24 | SPX500:S42,2,500/500,,,82,0.085,0.0,47.0
NDX100:S24 | SPX500:S42,2,500/500,,near,82,0.085,0.0,47.0
NDX100:S25,1,500,2000.0,,82,0.073,0.0,50.0
NDX100:S25,1,500,,,82,0.073,0.0,50.0
NDX100:S22,1,500,2000.0,near,82,0.073,0.0,43.5
NDX100:S22,1,500,,near,82,0.073,0.0,43.5
SPX500:S42,1,750,2000.0,near,82,0.073,0.0,44.0
SPX500:S42,1,750,,near,82,0.073,0.0,44.0
NDX100:S22 | US30:L7,2,500/1000,2000.0,near,82,0.073,0.0,45.5
NDX100:S25,1,500,2000.0,near,82,0.061,0.0,46.0
NDX100:S25,1,500,,near,82,0.061,0.0,46.0
NDX100:LIVE_COMP+MA100,1,500,2000.0,,82,0.061,0.0,46.0
NDX100:LIVE_COMP+MA100,1,500,,,82,0.061,0.0,46.0
NDX100:S24 | US30:L7,2,500/500,2000.0,,82,0.061,0.0,56.0
NDX100:S24 | US30:L7,2,500/500,,,82,0.061,0.0,56.0
NDX100:LIVE_COMP,1,500,2000.0,,82,0.061,0.024,46.0
NDX100:LIVE_COMP,1,500,,,82,0.061,0.024,46.0
US30:L7,1,1000,2000.0,,82,0.061,0.098,54.0
US30:L7,1,1000,,,82,0.061,0.098,54.0
SPX500:S42,1,750,2000.0,,82,0.049,0.0,41.5
SPX500:S42,1,750,,,82,0.049,0.0,41.5
NDX100:S22 | US30:L7,2,500/500,2000.0,,82,0.049,0.0,36.5
NDX100:S22 | US30:L7,2,500/500,2000.0,near,82,0.049,0.0,48.5
NDX100:S22 | US30:L7,2,500/500,,,82,0.049,0.0,36.5
NDX100:S22 | US30:L7,2,500/500,,near,82,0.049,0.0,48.5
NDX100:S24,1,750,2000.0,,82,0.037,0.0,52.0
NDX100:S24,1,750,2000.0,near,82,0.037,0.0,52.0
NDX100:S24,1,750,,,82,0.037,0.0,52.0
NDX100:S24,1,750,,near,82,0.037,0.0,52.0
NDX100:S24 | US30:L7,2,500/500,2000.0,near,82,0.037,0.0,56.0
NDX100:S24 | US30:L7,2,500/500,,near,82,0.037,0.0,56.0
NDX100:L6 | US30:L7,2,500/500,2000.0,,82,0.037,0.0,53.0
NDX100:L6 | US30:L7,2,500/500,,,82,0.037,0.0,53.0
NDX100:L6 | US30:L7,2,500/500,2000.0,near,82,0.024,0.0,54.5
NDX100:L6 | US30:L7,2,500/500,,near,82,0.024,0.0,54.5
NDX100:S24,1,500,2000.0,,82,0.0,0.0,
NDX100:S24,1,500,2000.0,near,82,0.0,0.0,
NDX100:S24,1,500,,,82,0.0,0.0,
NDX100:S24,1,500,,near,82,0.0,0.0,
NDX100:L6,1,500,2000.0,,82,0.0,0.0,
NDX100:L6,1,500,2000.0,near,82,0.0,0.0,
NDX100:L6,1,500,,,82,0.0,0.0,
NDX100:L6,1,500,,near,82,0.0,0.0,
US30:L7,1,500,2000.0,,82,0.0,0.0,
US30:L7,1,500,2000.0,near,82,0.0,0.0,
US30:L7,1,500,,,82,0.0,0.0,
US30:L7,1,500,,near,82,0.0,0.0,
SPX500:S42,1,500,2000.0,,82,0.0,0.0,
SPX500:S42,1,500,2000.0,near,82,0.0,0.0,
SPX500:S42,1,500,,,82,0.0,0.0,
SPX500:S42,1,500,,near,82,0.0,0.0,
SPX500:S42 | US30:L7,2,500/500,2000.0,,82,0.0,0.0,
SPX500:S42 | US30:L7,2,500/500,2000.0,near,82,0.0,0.0,
SPX500:S42 | US30:L7,2,500/500,,,82,0.0,0.0,
SPX500:S42 | US30:L7,2,500/500,,near,82,0.0,0.0,
US30:L7,1,750,2000.0,,82,0.0,0.049,
US30:L7,1,750,2000.0,near,82,0.0,0.049,
US30:L7,1,750,,,82,0.0,0.049,
US30:L7,1,750,,near,82,0.0,0.049,
US30:L7,1,1000,2000.0,near,82,0.0,0.098,
US30:L7,1,1000,,near,82,0.0,0.098,
US30:L7,1,1500,2000.0,near,82,0.0,0.244,
US30:L7,1,1500,,near,82,0.0,0.244,
